# MediaDive authoritative collection table
# source: https://mediadive.dsmz.de/rest/media (fetched 2026-09-06, HTTP 200, 3339 rows)
# MediaDive aggregates recipes published by several culture collections. `collection`
# is MediaDive's own `source` field - NOT derived from the link host (mediadive C110
# links to atcc.org but MediaDive classifies it CCAP, and 73 on-disk records have a
# synthesised fallback URL whose host says nothing).
mediadive_id	collection	upstream_link	upstream_name
1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1.pdf	NUTRIENT AGAR
10	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium10.pdf	ZYMOMONAS MEDIUM
1000	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1000.pdf	MJANHOX-NO3 MEDIUM WITH SUPPLEMENT
1001	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1001.pdf	BASAL MEDIUM
1002	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1002.pdf	ECTOTHIORHODOSYNUS MEDIUM
1003	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1003.pdf	HYDROGEN-OXYDIZING MEDIUM
1004	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1004.pdf	ANAEROLINEA MEDIUM
1005	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1005.pdf	THERMODESULFOBIUM MEDIUM
1006	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1006.pdf	ALLISONELLA MEDIUM
1007	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1007.pdf	MINERAL MEDIUM
1008	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1008.pdf	SEDIMINISPIROCHAETA MEDIUM
1009	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1009.pdf	TCG MEDIUM
101	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium101.pdf	NUTRIENT AGAR or BROTH WITH NaCl
1010	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1010.pdf	DESULFOPILA CORRODENS MEDIUM
1011	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1011.pdf	SULFURIMONAS MJ MEDIUM
1011a	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1011a.pdf	THIOBACTER MJ MEDIUM
1011b	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1011b.pdf	THERMOSIPHO MJ MEDIUM
1011c	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1011c.pdf	DESULFOTHERMUS MJ MEDIUM (H2/CO2)
1011d	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1011d.pdf	GALENEA MJ MEDIUM (CO2)
1012	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1012.pdf	PEREDIBACTER (DN) MEDIUM
1012a	DSMZ		BDELLOVIBRIO BACTERIOVORUS MEDIUM
1012b	DSMZ		BACTERIOVORAX MEDIUM
1013	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1013.pdf	HALOBACTERIOVORAX MEDIUM
1014	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1014.pdf	THIOALKALIVIBRIO HALOPHILUS MEDIUM
1015	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1015.pdf	YPGA
1016	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1016.pdf	IDIOMARINA MEDIUM
1017	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1017.pdf	YPG MEDIUM
1018	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1018.pdf	HALOFERAX SULFURIFONTIS MEDIUM
1019	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1019.pdf	ROUF'S MEDIUM
102	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium102.pdf	FLAVOBACTERIUM AQUATILE MEDIUM
1020	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1020.pdf	SULFURICURVUM (MBM) MEDIUM
1021	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1021.pdf	SODALIS GLOSSINIDIUS MEDIUM
1022	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1022.pdf	CRYPTOANAEROBACTER MEDIUM
1023	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1023.pdf	MANNING MEDIUM
1024	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1024.pdf	NITRATIRUPTOR AND NITRATIFRACTOR MEDIUM
1025	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1025.pdf	MARICAULIS MEDIUM
1026	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1026.pdf	XED-AGAR
1027	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1027.pdf	YEAST STARCH AGAR (A)
1028	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1028.pdf	THERMINCOLA MEDIUM (CO)
1029	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1029.pdf	BBL ACTINOMYCES BROTH
1030	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1030.pdf	SMITHELLA MEDIUM
1031	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1031.pdf	YMA-MEDIUM
1031a	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1031a.pdf	YMA-MEDIUM (modified)
1032	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1032.pdf	MEDIUM FOR METHYLOBACTERIUM PODARIUM
1033	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1033.pdf	THERMUS MEDIUM
1034	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1034.pdf	ALKALIPHILIC HALOMONAS MEDIUM
