evidence_tier	source_name	bigg_metabolite	target_name	formula	inchikey	proxy_for	n_rows_this_decision
name_table	Thiamin	thm	Thiamin	C12H17N4OS	MYVIATVLJGTBFV-UHFFFAOYSA-M		8069
name_table	Calcium, Ca	ca2	Calcium	Ca	BHPQYMZQTOCNFJ-UHFFFAOYSA-N		7243
name_table	Potassium, K	k	Potassium	K	NPYPAHLBTDXSSS-UHFFFAOYSA-N		7243
name_table	Sodium, Na	na1	Sodium	Na	FKNQFGJONOIPTF-UHFFFAOYSA-N		7219
name_table	Zinc, Zn	zn2	Zinc	Zn	PTFCDOFLOPIGGS-UHFFFAOYSA-N		7192
name_table	Magnesium, Mg	mg2	Magnesium	Mg	JLVVSXFLKOJNIY-UHFFFAOYSA-N		7191
name_table	Niacin	nac	Nicotinate	C6H4NO2	PVNIIMVLHYAWGP-UHFFFAOYSA-M		7119
name_table	Copper, Cu	cu2	Copper	Cu	JPVYNHNXODAKFH-UHFFFAOYSA-N		7048
name_table	Riboflavin	ribflv	Riboflavin C17H20N4O6	C17H19N4O6	AUNGANRZJHBGPY-SCRDCRAPSA-M		7048
name_table	SFA 16:0	hdca	Hexadecanoate (n-C16:0)	C16H31O2	IPCSVZSSVZVIGE-UHFFFAOYSA-M		6701
name_table	SFA 18:0	ocdca	Octadecanoate (n-C18:0)	C18H35O2	QIQXTHQIDYTFRH-UHFFFAOYSA-M		6573
name_table	Manganese, Mn	mn2	Manganese	Mn	WAEMQWOKJMHJLA-UHFFFAOYSA-N		6354
name_table	Pantothenic acid	pnto__R	(R)-Pantothenate	C9H16NO5	GHOKWGTUZJEAQD-ZETCQYMHSA-M		6135
name_table	SFA 14:0	ttdca	Tetradecanoate (n-C14:0)	C14H27O2	TUNFSRHWOTWDNC-UHFFFAOYSA-M		5704
name_table	Lysine	lys__L	L-Lysine	C6H15N2O2	KDXKERNSBIXSRK-YFKPBYRVSA-O		5018
name_table	Methionine	met__L	L-Methionine	C5H11NO2S	FFEARJCKVFRZRR-BYPYZUCNSA-N		5013
name_table	Isoleucine	ile__L	L-Isoleucine	C6H13NO2	AGPKZVBTJJNPAG-WHFBIAKZSA-N		5005
name_table	Leucine	leu__L	L-Leucine	C6H13NO2	ROHFNLRQFUQHCH-YFKPBYRVSA-N		5005
name_table	Valine	val__L	L-Valine	C5H11NO2	KZSNJWFQEVHDMF-BYPYZUCNSA-N		5004
name_table	Threonine	thr__L	L-Threonine	C4H9NO3	AYFVYJQAPQTCCC-GBXIJSLDSA-N		5001
name_table	MnSO4 x H2O	so4	Sulfate	O4S	QAOWNCQODCNURD-UHFFFAOYSA-L		1
name_table	NiCl2 . 6 H2O	ni2	Nickel	Ni	VEQPNABPJHWNSG-UHFFFAOYSA-N		1
name_table	manganese chloride tetrahydrate	mn2	Manganese	Mn	WAEMQWOKJMHJLA-UHFFFAOYSA-N		21
name_table	NaNO3 (sodium nitrate)	na1	Sodium	Na	FKNQFGJONOIPTF-UHFFFAOYSA-N		7
name_table	Na2MoO4 ∙ 2H2O	mobd	Molybdate	MoO4	MEFBJEMVZONFCJ-UHFFFAOYSA-N		1
name_table	NiCl2.6H2O	ni2	Nickel	Ni	VEQPNABPJHWNSG-UHFFFAOYSA-N		9
name_table	Na2MoO4*2H2O (sodium molybdate dihydrate)	mobd	Molybdate	MoO4	MEFBJEMVZONFCJ-UHFFFAOYSA-N		1
name_table	zinc sulfate	zn2	Zinc	Zn	PTFCDOFLOPIGGS-UHFFFAOYSA-N		11
name_table	calcium chloride dihydrate	ca2	Calcium	Ca	BHPQYMZQTOCNFJ-UHFFFAOYSA-N		22
name_table	Na2MoO4·2H2O (sodium molybdate dihydrate)	mobd	Molybdate	MoO4	MEFBJEMVZONFCJ-UHFFFAOYSA-N		2
name_table	sodium carbonate	hco3	Bicarbonate	CHO3	BVKZGUZCCUSVTD-UHFFFAOYSA-M		3
name_table	Cobalt nitrate	no3	Nitrate	NO3	NHNBFGGVMKEFGY-UHFFFAOYSA-N		8
name_table	Na2SeO3 x 5 H2O	slnt	Selenite	O3Se	MCAHWIHFGHIESP-UHFFFAOYSA-L		1
name_table	Acetate	ac	Acetate	C2H3O2	QTBSBXVTEAMEQO-UHFFFAOYSA-M		347
name_table	sodium thiosulfate	na1	Sodium	Na	FKNQFGJONOIPTF-UHFFFAOYSA-N		1
name_table	Na2WO4·2H2O (Wolin mineral)	tungs	Tungstate	O4W	PBYZMCDFOULPGH-UHFFFAOYSA-N		1
name_table	Sodium dihydrogen phosphate	pi	Phosphate	HO4P	NBIIXXVUZAFLBC-UHFFFAOYSA-L		67
name_table	NiCl2 · 6H2O	ni2	Nickel	Ni	VEQPNABPJHWNSG-UHFFFAOYSA-N		1
name_table	sodium succinate	succ	Succinate	C4H4O4	KDYFGRWQOYBRFD-UHFFFAOYSA-L		1
name_table	Sodium sulfide (reductant)	h2s	Hydrogen sulfide	HS	RWSOTUBLDIXVET-UHFFFAOYSA-M		4
